budget,genres,original_language,original_title,release_date,revenue,runtime,actors,studios,countries,directors,producers
17000000,"Adventure, Drama, Action, Romance",zh,卧虎藏龍,2000-07-06,213525736,120.0,"Chow Yun-Fat, Michelle Yeoh, Zhang Ziyi, Chang Chen, Cheng Pei-Pei, Lung Sihung, Fa Zeng Li, Suying Huang, Xian Gao, Yan Hai, De Ming Wang, Li Li, Bin Chen","China Film Co-Production Corporation, Columbia Pictures Film Production Asia, Good Machine, EDKO Film, Asia Union Film & Entertainment Ltd., United China Vision, Zoom Hunt International Productions Company Ltd.","China, Hong Kong, Taiwan, United States of America",Ang Lee,"William Kong, Ang Lee, Li-Kong Hsu"
72000000,"Action, Drama, History, War",en,Braveheart,1995-03-14,213216216,178.0,"Mel Gibson, Catherine McCormack, Sophie Marceau, Patrick McGoohan, Angus Macfadyen, Brendan Gleeson, James Robinson, James Cosmo, Sean McGinley, Gerda Stevenson, Mhairi Calvey, Jeanne Marine, Sean Lawlor, Sandy Nelson, Alan Tall, Andrew Weir, Brian Cox, Peter Hanly, Stephen Billington, Tommy Flanagan, Rupert Vansittart, Tam White, Ian Bannen, David O'Hara, Peter Mullan, David Gant, Malcolm Tierney, Martin Murphy, Gerard McSorley, Bernard Horsfall, Richard Leaf, Liam Carney, Ralph Riach, Barry McGovern, John Kavanagh, Alun Armstrong, Julie Austin, Alex Norton, Michael Byrne, William Scott-Masson, Dean Lopata, Donal Gibson, Jimmy Chisholm, John Murtagh, David McKay, Niall O'Brien, Martin Dempsey, Jimmy Keogh, Joe Savino, Mal Whyte, Paul Tucker, Greg Jeloudov, Rana Morrison, Jer O'Leary, Joanne Bett, Robert Paterson, Martin Dunne, Fred Chiverton, Daniel Coll, Bill Murdoch, Phil Kelly","Icon Entertainment International, The Ladd Company, B.H. Finance C.V.",United States of America,Mel Gibson,"Mel Gibson, Bruce Davey, Alan Ladd, Jr., Elisabeth Robinson, Dean Lopata"
50000000,"Fantasy, Comedy",en,Into the Woods,2014-12-24,212902372,125.0,"Meryl Streep, James Corden, Emily Blunt, Anna Kendrick, Daniel Huttlestone, Lilla Crawford, Mackenzie Mauzy, Chris Pine, Billy Magnussen, Johnny Depp, Tracey Ullman, Richard Glover, Frances de la Tour, Christine Baranski, Tammy Blanchard, Lucy Punch, Simon Russell Beale, Joanna Riding, Annette Crosbie, Andy Hayes, Scott Plumridge","Walt Disney Pictures, Marc Platt Productions, Lucamar Productions",United States of America,Rob Marshall,"Rob Marshall, Callum McDougall, Marc Platt, John DeLuca"
80000000,"Fantasy, Comedy, Family, Romance",en,Bedtime Stories,2008-12-24,212874864,99.0,"Adam Sandler, Keri Russell, Guy Pearce, Courteney Cox, Lucy Lawless, Carmen Electra, Jonathan Pryce, Richard Griffiths, Teresa Palmer, Russell Brand, Aisha Tyler, Kathryn Joosten, Jonathan Morgan Heit, Laura Ann Kesling, Nick Swardson, Allen Covert, Tim Herlihy, Thomas Hoffman, Abigail Droeger, Melany Mitchell, Andrew Collins, Julia Lea Wolov, Dana Goodman, Sarah Buxton, Catherine Kwong, Lindsey Alley, Blake Clark, Bill Romanowski, Paul Dooley, Johntae Lipscomb, Mikey Post, Sebastian Saraceno, Seth Howard, Jackie Sandler, Sadie Sandler, Valerie Gervickas, Debbie Lee Carrington, Billy Tyler, Lorna Scott, Annalise Basso, Shu Lan Tuan, Jonathan Loughran, Robert Harvey, Mike Andrella, J.D. Donaruma, Jon Schueler, Denverly Grant, Rob Schneider, JT Alexander, Gina Cantrell, Betsy Hammer, Taylor Hardick, Nick Hermz, Danni Katz, Alina Kaufman, Waymond Lee, Heather Morris, Louis Riviere, Nicole Sciacca, Alex Tyler, Brian Waller, Shawna Wesley","Walt Disney Pictures, Gunn Films, Happy Madison Productions",United States of America,Adam Shankman,"Adam Sandler, Jack Giarraputo, Andrew Gunn"
66000000,"Romance, Drama, Mystery",en,Entrapment,1999-04-29,212404396,112.0,"Catherine Zeta-Jones, Sean Connery, Will Patton, Maury Chaykin, Ving Rhames, Kevin McNally, Terry O'Neill, Madhav Sharma, David Yip, Tim Potter, Eric Meyers, Aaron Swartz, William Marsh, Tony Xu, Rolf Saxon, Tom Clarke Hill, David Howard, Sai-Kit Yung, Ravin J. Ganatra, Rhydian Jai-Persad, Hari Dhillon","Fountainbridge Films, Regency Enterprises","United Kingdom, United States of America",Jon Amiel,"Sean Connery, Rhonda Tollefson, Michael Hertzberg"
30000000,"Crime, Comedy, Adventure",en,Ace Ventura: When Nature Calls,1995-11-10,212385533,90.0,"Jim Carrey, Ian McNeice, Simon Callow, Bob Gunton, Maynard Eziashi, Tommy Davidson, Sophie Okonedo, Danny Daniels, Adewale Akinnuoye-Agbaje, Sam Motoana Phillips, Damon Standifer, Bruce Spence, Arsenio 'Sonny' Trinidad, Michael Reid MacKay, Ken Kirzinger, Dev Kennedy, Patti Tippo, Warren Sroka, Patrick Michael Strange","Morgan Creek Productions, Warner Bros. Pictures",United States of America,Steve Oedekerk,"James G. Robinson, Bob Israel, Andrew G. La Marca"
150000000,"Adventure, Drama, War",en,Master and Commander: The Far Side of the World,2003-11-14,212011111,138.0,"Russell Crowe, Paul Bettany, Billy Boyd, James D'Arcy, Lee Ingleby, George Innes, Mark Lewis Jones, Chris Larkin, Richard McCabe, Robert Pugh, David Threlfall, Edward Woodall, Max Pirkis, Jack Randall, Max Benitz, Richard Pates, Ian Mercer, Tony Dolan, Bryan Dick, Joseph Morgan, William Mannering, Patrick Gallagher, Alex Palmer, John DeSantis, Ousmane Thiam, Thierry Segall","Universal Pictures, Samuel Goldwyn Films, 20th Century Fox, Miramax",United States of America,Peter Weir,"Peter Weir, Duncan Henderson, Samuel Goldwyn Jr."
45000000,"Comedy, Crime, Action",en,Miss Congeniality,2000-12-22,212000000,111.0,"Sandra Bullock, Benjamin Bratt, Michael Caine, Candice Bergen, William Shatner, Ernie Hudson, John DiResta, Heather Burns, Melissa De Sousa, Steve Monroe, Deirdre Quinn, Wendy Raquel Robinson, Asia De Marcos, Ken Thomas, Gabriel Folse, Leeanne Locken, John Cann, Laurie Guzda, Lucien Douglas, Mona Lee Fultz, Konstantin Selivanov, Danny Kamin, Eric Ian Goldberg, Mary Ashleigh Green, Cody Linley, Rupert Reyes, Jessica Holcomb, Jennifer Gareis, Ellen H. Schwartz, Cassandra L. Small, Marco Perella, Cynthia Dorn, Catenya McHenry, Paige Bishop, Pei-San Brown, Kelly Bright, Farah White, Pam Green, Angela Van De Walle, Katy Dunlap, Bernadette Nason, Ellen H. Schwartz, Georgia Foy, Isamari White, Kimberly Crawford, Jamie Drake Stephens, Dyan Conner, Dee Dee Adams, Shana McClendon, Janie Terrazas, Holly Mills, Tarah Bartley, Summyr Miller, Jessica Hale, Deborah Abbott, Camille Chen, Lisa Del Dotto, Jennifer Matyear, Dawn McCoy, Nora J. Moore, Rana Morrison, Mylinda Royer, Nita Rainwater, Hollie Stenson, LaToya Ward, Michelle Yerger, Wendy Wells-Gunkel","Village Roadshow Pictures, Castle Rock Entertainment, NPV Entertainment, Fortis Films, Warner Bros. Pictures",United States of America,Donald Petrie,Sandra Bullock
100000000,"Action, Fantasy, Horror, Mystery",en,End of Days,1999-11-24,211989043,121.0,"Arnold Schwarzenegger, Gabriel Byrne, Robin Tunney, Kevin Pollak, CCH Pounder, Derrick O'Connor, David Weisenberg, Rainer Judd, Miriam Margolyes, Udo Kier, Luciano Miele, Michael O'Hagan, Mark Margolis, Jack Shearer, Rod Steiger, Eve Sigall, Victor Varnado, Robert Lesser, Lloyd Garroway, Gary Anthony Williams, John Nielsen, Jonny Bogris, Elliot Goldwag, Elaine Corral Kendall, Denice D. Lewis, Renee Olstead, Mo Gallini, Marc Lawrence, Van Quattro, Charles A. Tamburro, Lynn Marie Sager, Linda Pine, David Franco, Steve Kramer, Melissa Mascara, John Timothy Botka, Walter von Huene, Michael Rocha",Beacon Communications,United States of America,Peter Hyams,"Armyan Bernstein, Bill Borden"
35000000,"Comedy, Romance",en,Bridget Jones's Baby,2016-09-14,211952420,123.0,"Renée Zellweger, Colin Firth, Patrick Dempsey, Jim Broadbent, Gemma Jones, Emma Thompson, Sally Phillips, James Callis, Shirley Henderson, Sarah Solemani, Neil Pearson, Kate O'Flynn, Celia Imrie, Jessica Hynes, Julian Rhind-Tutt, Ben Willbond, Joanna Scanlan, Enzo Cilenti, Ed Sheeran, Tom Rosenthal, Beattie Edmondson, Erron Gordon, Patrick Malahide, Laura Checkley, Agni Scott, Darren Boyd, Dolly Wells, Nick Mohammed, Paul Bentall, Ashley McGuire, Souad Faress, Aiste S. Gram, Kasia Koleczek, Maria Alexe, Cathy Murphy, Richard Rycroft, Donald Douglas, Shirley Dixon, James Faulkner, Dominic Coleman, Janet Henfrey, Debra Gillett, Chooye Bay, Adam Leese, Joseph Harmon, Alana Hood, Maitland Chandler, David Forest, Bruce Wang, Lee Nicholas Harris, David Crow, Hiten Patel, Jag Patel, Charlie Rawes","Working Title Films, Perfect World Pictures, StudioCanal, Universal Pictures, Miramax","France, Ireland, United Kingdom, United States of America",Sharon Maguire,"Tim Bevan, Eric Fellner, Debra Hayward"
